id,label,proxy_score
0,0.0,17.984375
1,0.0,18.171875
2,0.0,18.421875
3,0.0,18.703125
4,0.0,18.375
5,0.0,17.96875
6,0.0,18.765625
7,0.0,18.96875
8,0.0,19.015625
9,0.0,19.546875
10,0.0,19.90625
11,0.0,18.984375
12,0.0,20.5
13,0.0,18.8125
14,0.0,18.953125
15,0.0,18.59375
16,0.0,18.578125
17,0.0,19.171875
18,0.0,19.203125
19,0.0,18.8125
20,0.0,18.4375
21,0.0,17.921875
22,0.0,17.890625
23,0.0,18.421875
24,0.0,17.96875
25,0.0,19.296875
26,0.0,18.40625
27,0.0,19.203125
28,0.0,19.546875
29,0.0,19.4375
30,0.0,21.3125
31,0.0,21.609375
32,0.0,20.484375
33,0.0,20.5625
34,0.0,20.09375
35,0.0,19.4375
36,0.0,20.953125
37,0.0,21.171875
38,0.0,20.96875
39,0.0,20.546875
40,0.0,20.609375
41,0.0,20.171875
42,0.0,19.921875
43,0.0,20.609375
44,0.0,20.859375
45,0.0,20.703125
46,0.0,20.671875
47,0.0,19.96875
48,0.0,22.125
49,0.0,20.78125
50,0.0,21.03125
51,0.0,19.765625
52,0.0,20.671875
53,0.0,20.6875
54,0.0,20.4375
55,0.0,20.421875
56,0.0,21.3125
57,0.0,20.28125
58,0.0,20.578125
59,0.0,21.53125
60,0.0,21.734375
61,0.0,21.1875
62,0.0,22.390625
63,0.0,22.328125
64,0.0,20.390625
65,0.0,20.984375
66,0.0,21.109375
67,0.0,21.1875
68,0.0,21.953125
69,0.0,21.25
70,0.0,21.265625
71,0.0,21.5625
72,0.0,21.890625
73,0.0,22.140625
74,0.0,21.359375
75,0.0,14.4140625
76,0.0,13.8359375
77,0.0,14.03125
78,0.0,14.1015625
79,0.0,13.609375
80,0.0,13.6875
81,0.0,14.1484375
82,0.0,13.8828125
83,0.0,14.0703125
84,0.0,14.03125
85,0.0,13.65625
86,0.0,14.0625
87,0.0,14.078125
88,0.0,13.7578125
89,0.0,13.1640625
90,0.0,13.1875
91,0.0,13.1171875
92,0.0,13.1640625
93,0.0,13.25
94,0.0,13.4375
95,0.0,13.265625
96,0.0,13.9453125
97,0.0,13.609375
98,0.0,13.1953125
99,0.0,13.2265625
100,0.0,13.3046875
101,0.0,13.515625
102,0.0,12.96875
103,0.0,13.1640625
