id,label,proxy_score
0,1.0,25.78125
1,1.0,25.25
2,1.0,24.921875
3,1.0,25.203125
4,1.0,24.375
5,1.0,24.125
6,1.0,24.75
7,1.0,24.3125
8,1.0,24.734375
9,1.0,24.71875
10,1.0,25.40625
11,1.0,24.359375
12,1.0,25.84375
13,1.0,24.46875
14,1.0,25.46875
15,1.0,25.203125
16,1.0,25.421875
17,1.0,25.28125
18,1.0,25.5
19,1.0,25.421875
20,1.0,25.34375
21,1.0,24.46875
22,1.0,24.0
23,1.0,25.328125
24,1.0,24.9375
25,1.0,25.90625
26,1.0,25.296875
27,1.0,25.640625
28,1.0,25.90625
29,1.0,25.515625
30,1.0,26.703125
31,1.0,26.59375
32,1.0,26.1875
33,1.0,26.296875
34,1.0,26.578125
35,1.0,24.859375
36,1.0,26.0
37,1.0,25.953125
38,1.0,26.171875
39,1.0,25.296875
40,1.0,25.140625
41,1.0,24.75
42,1.0,24.984375
43,1.0,25.171875
44,1.0,25.390625
45,1.0,25.40625
46,1.0,25.109375
47,1.0,25.421875
48,1.0,27.5625
49,1.0,26.21875
50,1.0,26.203125
51,1.0,26.15625
52,1.0,26.171875
53,1.0,26.421875
54,1.0,25.34375
55,1.0,25.75
56,1.0,26.21875
57,1.0,26.296875
58,1.0,25.359375
59,1.0,26.40625
60,1.0,26.203125
61,1.0,25.84375
62,1.0,26.078125
63,1.0,25.78125
64,1.0,25.390625
65,1.0,25.875
66,1.0,26.1875
67,1.0,26.65625
68,1.0,26.328125
69,1.0,25.6875
70,1.0,25.75
71,1.0,25.921875
72,1.0,26.453125
73,1.0,26.703125
74,1.0,25.53125
75,0.0,17.21875
76,0.0,16.421875
77,0.0,16.34375
78,0.0,16.71875
79,0.0,15.6328125
80,0.0,15.4140625
81,0.0,15.6484375
82,0.0,15.5078125
83,0.0,15.8984375
84,0.0,15.4296875
85,0.0,15.0390625
86,0.0,15.609375
87,0.0,15.578125
88,0.0,15.3046875
89,0.0,14.65625
90,0.0,14.6796875
91,0.0,14.4140625
92,0.0,14.359375
93,0.0,14.34375
94,0.0,14.53125
95,0.0,14.5625
96,0.0,15.8203125
97,0.0,15.234375
98,0.0,14.5234375
99,0.0,14.390625
100,0.0,14.4609375
101,0.0,15.046875
102,0.0,14.109375
103,0.0,14.4296875
104,0.0,14.1171875
105,0.0,14.2421875
106,0.0,14.359375
107,0.0,14.65625
108,0.0,15.6796875
109,0.0,16.484375
110,0.0,14.84375
111,0.0,15.671875
112,0.0,15.140625
113,0.0,15.859375
114,0.0,15.3046875
115,0.0,14.4921875
116,0.0,15.4921875
117,0.0,14.9765625
118,0.0,14.28125
119,0.0,14.4765625
120,0.0,15.1171875
121,0.0,14.1796875
122,0.0,17.109375
123,0.0,14.9375
124,0.0,15.078125
125,0.0,14.703125
126,0.0,14.203125
127,0.0,13.8671875
